A
HIG
HII
HLF
HLT
HMC
HMY
HOG
HON
HPE
HPQ
HRC
HRI
HRL
HSBC
HST
HSY
HTA
HTZGQ
HUBS
HUBb
HUM
HUN
IACA
IBM
IBP
IDA
IEX
IFF
IIPR
INFY
INGR
INSP
INT
IP
IPG
IPOE
IQV
IRM
IT
ITUB
ITW
J
JBL
JBT
JCI
JEF
JLL
JMIA
JNJ
JNPR
JPM
JWN
K
KBH
KBR
KDP
KEY
KEYSS
KGC
KKR
KL
KMB
KMI
KMT
KMX
KNX
KO
KR
KRO
KSS
KSU
L
LAD
LAZ
LB
LDOS
LEA
LEG
LEN
LEVI
LH
LHX
LII
LIN
LLY
LMND
LMT
LNC
LNT
LOW
LPX
LSI
LTC
LTHM
LUMN
LUV
LVS
LW
LYB
LYV
M
MA
MAA
MAIN
MAN
MANU
MAS
MCDD
MCK
MCO
MD
MDDC
MDT
MDU
MET
MFG
MGA
MGM
MHK
MKC
MKL
MLM
MMC
MMI
MMM
MO
MOH
MOS
MPC
MPW
MRK
MRO
MS
MSCI
MSI
MTB
MTD
MTDR
MTH
MTN
MTOR
MTW
MTZ
MUFG
MUR
MUSA
MWA
MX
MXL
NAV
NCLH
NCR
NEE
NEM
NEP
NEWR
NI
NIO
NKE
NLSN
NLY
NOC
NOK
NOMD
NOV
NOVA
NOW
NPTN
NRG
NSC
NSP
NSTB
NUE
NVO
NVR
NVRO
NVS
NVTA
O
OC
OHI
OI
OKE
OLN
OMC
OMI
ORA
ORCL
ORI
OSK
OUT
OVV
OXY
PAG
PAGP
PAGS
PAM
PANW
PATH
PAYC
PBF
PBR
PBR.A
PCG
PEB
PEG
PEN
PFE
PFGC
PG
PGR
PH
PHM
PII
PINS
PKI
PKG
PLAN
PLD
PLNT
PLTR
PM
PNC
PNR
POST
PPG
PPL
PRG
PRGO
PRU
PSA
PSX
PVH
PWR
PXD
QD
QS
QSR
QTWO
R
RACE
RAD
RBLX
RCL
RDN
RDS.A
RDS.B
RE
RENN
REXR
RF
RFP
RGA
RH
RHI
RIG
RIO
RJF
RL
RLGY
RLX
RMAX
RMD
RNG
RNR
ROK
ROP
RPM
RRD
RS
RSG
RTX
RVLV
RWT
RXN
RY
SAH
SAIL
SAM
SAN
SAVE
SBH
SBS
SCCO
SCHW
SCI
SE
SEAS
SEE
SHAK
SHOP
SHW
SIG
SIX
SJM
SKLZ
SKM
SKT
SLB
SM
SMAR
SMG
SNAP
SNOW
SNX
SO
SON
SONY
SPB
SPCE
SPG
SPGI
SPOT
SPR
SQ
SQM
SRE
ST
STAG
STE
STOR
STT
STZ
SU
SUI
SUM
SUZ
SWK
SWN
SXT
SYF
SYK
SYY
T
TAK
SAL
TAP
TD
TDG
TDOC
TDS
TEF
TEL
TEO
TEVA
TFC
TFX
TGT
THC
THG
THO
THS
TJX
TM
TME
TMHC
TMO
TMX
TNL
TOL
TPC
TPH
TPR
TPX
TREX
TRGP
TRU
TRV
TSM
TSN
TT
TTM
TV
TWLO
TWTR
TX
TXT
U
UA
UVER
UDR
UGI
UHS
UMC
UNFI
UNH
UNM
UNP
UPS
URI
USB
USFD
UVV
V
VAC
VALE
VEEV
VFC
VIAC
VIPS
VLO
VMC
VMW
VNO
VST
VSTO
VTR
VZ
W
WAB
WAT
WBT
WCC
WEC
WELL
WFC
WGO
WHR
WKL
WLL
WM
WMB
WMT
WORK
WPC
WPM
WRK
WSM
WSO
WST
WTRG
WU
WY
X
XEC
XOM
XPEV
XPO
XRX
XXII
XYL
Y
YELP
YUM
YUMC
ZBH
ZEN
ZEPP
ZH
ZIM
ZTO
ZTS
AAL
AAPL
ABCB
ABMD
ABNB
ACAD
ADBE
ADI
ADMP
ADP
ADSK
ADBVM
AGEN
AGNC
AGRX
AIHS
AKAM
ALDX
ALGM
ALGN
ALNY
ALRM
ALVR
ALXN
AMAT
AMBA
AMD
AMED
AMGN
AMRS
AMZN
ANDE
ANGI
ANSS
API
APPS
ARCC
ARCT
ARWR
ASML
ATHX
ATNX
ATRS
ATVI
AVAV
AVGO
AVID
AVT
AVXL
AXGN
AXON
AY
AYRO
AYTU
AZPN
BBBY
BCRX
BHF
BIDU
BIIB
BILI
BKNG
BKYI
BLDP
BLDR
BLFS
BLMN
BLNK
BLUE
BMBL
BMRN
BNGO
BNTX
BOXL
BPMC
BPY
BRKR
BRKS
BYND
BZUN
CACC
CAMP
CAN
CAR
CARA
CASY
CBRL
CDEV
CDNS
CDW
CEMI
CERN
CERS
CEVA
CGNX
CHDN
CHKP
CHRS
CHRW
CHTR
CINF
CLDX
CLLS
CLMT
CLSK
CMCSA
CME
CNMD
COCP
CODX
COIN
COMM
COOP
CORE
COST
COUP
CPRT
CPRX
CRBP
CREE
CRON
CROX
CRSP
CRSR
CRTO
CRUS
CRWD
CSCO
CSGP
CSIQ
CSOD
CSX
CTAS
CTSH
CTXS
CVAC
CYBR
CZR
DBX
DDOG
DENN
DGLY
DISCA
DISH
DKNG
DLTR
DOCU
DOX
DRVN
DVAX
DXCM
EA
EBAY
EDIT
EEFT
EGAN
EH
EHTH
ENPH
EQIX
ETSY
EVBG
EVFM
EXAS
EXEL
EXPD
EXPE
FANG
FAST
FATE
FB
FCAC
FCEL
FEYE
FFIV
FISV
FITB
FIVE
FLEX
FLIR
FLWS
FOLD
FOSL
FROG
FRPT
FSLR
FTCV
FTIV
FTNT
FTOC
FWONA
GEVO
GH
GILD
GLBS
GLPI
GNTX
GNUS
GOOG
GOSS
GPRO
GRMN
GSAT
GT
GWPH
HAIN
GAS
HBAN
HEAR
HOLX
HQY
HSIC
HTBX
HTGM
HTHT
IAC
IKBR
ICPT
IDCC
IDEX
IDXX
IEP
IIVI
ILMN
INCY
INFO
INGN
INO
INPX
INTC
INTU
IONS
IPGP
IRBT
IRTC
ISBC
ISRG
IZEA
JACK
JAGX
JAZZ
JBHT
JBLU
JD
JFU
JKHY
JOBS
JOUT
JSNTST
KC
KHC
KLAC
KTOS
LAMR
LBTYA
LBTYK
LI
LILA
LITE
LKO
LLIT
LNG
LPSN
LRCX
LSCC
LSTR
LSXMA
LULU
LUNA
LYFT
MAR
MARA
MARK
MASI
MAT
MCHP
MDB
MDLZ
MELI
MGNI
MIDD
MITK
MKSI
MKTX
MMYT
MNST
MOMO
MPWR
MRCY
MRNA
MRTX
MRVL
MSFT
MSTR
MTCH
MU
MXXIM
NAKD
NATI
NAVI
NBEV
NBIX
NET
NFLX
NIU
NKLA
NLOK
NNDM
NTAP
NTDOY
NTES
NTLA
NTNX
NTRA
NTRS
NUAN
NUVA
NUWE
NVAX
NVCR
NVDA
NWL
NWSA
NXPI
OCGN
ODFL
ODP
OGI
OKTA
OLED
OLLI
ON
ORBC
ORLY
OSTK
PAAS
PACB
PAYS
PAYX
PBYI
PCAR
PCVX
PDCE
PDCO
PDD
PENN
PEP
PFG
PFPT
PI
PLAY
PLTK
PLUG
PODD
POOL
POSH
POWI
PPC
PRAH
PTC
PTON
PUBM
PYPL
PZZA
QCOM
QFIN
QIWI
QLGN
QRTEA
QRVO
QTT
QURE
REAL
REG
REGN
RETA
RGEN
RIOT
ROKU
ROST
RPAY
RPD
RUN
RYAAY
SAFM
SAGE
SANM
SBAC
SBNY
SBRA
SBUX
SEDG
SEIC
SFIX
SFM
SFT
SGEN
SGMP
SHIP
SHLS
SINT
SIRI
SIVB
SLAB
SLGN
SMTC
SNEX
SNPS
SOLO
SPLK
SPTN
SPWR
SRCL
SRNE
SRPT
SSNC
SSSS
STLD
STMP
STME
STX
SUMO
SUNW
SWBI
SWKS
SYNA
TA
TACO
TBLT
TCOM
TEAM
TECH
TELL
TER
TLRY
TMUS
TNDM
TOPS
TPIC
TREE
TRIP
TRMB
TROW
TRVN
TSCO
TSLA
TTCF
TTD
TTEK
TTNP
TTWO
TWOU
TXG
TXN
TXRH
UAL
UEIC
UI
ULTA
UNIT
UONE
UPWK
URBN
VBIV
VC
VCYT
VIAV
VIAH
VIR
VOD
VRDN
VRM
VRSK
VRSN
VRTX
VTRS
VTRU
VXRT
WB
WBA
WDAY
WDC
WEN
WIX
WKHS
WLTW
WOOF
WTW
WYNN
XEL
XLNX
XM
XP
XRAY
XYNDX
Z
ZBRA
ZGNX
ZION
ZM
ZNGA
ZS
ZYNE
0001.HK
0002.HK
0006.HK
0011.HK
0016.HK
0017.HK
0019.HK
0027.HK
0066.HK
0135.HK
0175.HK
0241.HK
0257.HK
0268.HK
0285.HK
0322.HK
0384.HK
0388.HK
0763.HK
0788.HK
0857.HK
0880.HK
0966.HK
0981.HK
1055.HK
1093.HK
1113.HK
1114.HK
1128.HK
1177.HK
1211.HK
1336.HK
1928.HK
2018.HK
2020.HK
2196.HK
2269.HK
2313.HK
2382.HK
2386.HK
2388.HK
2688.HK
3333.HK
3690.HK
0386.HK
0390.HK
3908.HK
3993.HK
0489.HK
6060.HK
0656.HK
6837.HK
6862.HK
0688.HK
6881.HK
6886.HK
0700.HK
0728.HK
0753.HK
0762.HK
0883.HK
0902.HK
0914.HK
0916.HK
0939.HK
0941.HK
0968.HK
0992.HK
0998.HK
0101.HK
1038.HK
1044.HK
1088.HK
1109.HK
1171.HK
1186.HK
0012.HK
1299.HK
1317.HK
1339.HK
1359.HK
1398.HK
0151.HK
1530.HK
1585.HK
1618.HK
1628.HK
1797.HK
1800.HK
1801.HK
1816.HK
1833.HK
1873.HK
1898.HK
1958.HK
1966.HK
1988.HK
1997.HK
6185.HK
0669.HK
0778.HK
0823.HK
0083.HK
9618.HK
9926.HK
9988.HK
1810.HK
