,Choice,Confidence
RDN,0,0.640710175
NPTN,1,0.640555322
CEMI,1,0.639559746
IPGP,1,0.63941586
HTBX,1,0.638866007
BXS,0,0.638804436
ACB,0,0.637325466
SGMO,1,0.636571646
EEFT,1,0.636502802
FTI,0,0.63596487
FATE,1,0.635930777
RVLV,0,0.635688782
VEEV,0,0.635397792
EDU,1,0.635303259
AZUL,2,0.63513571
CLR,0,0.63465929
PBYI,0,0.6344046
AMX,0,0.631819487
LTC,1,0.631308079
FIVE,1,0.631126165
AEM,0,0.631018221
NTRA,1,0.630417466
SBRA,0,0.630409658
AXON,1,0.629989982
TLRY,1,0.627177179
DOX,0,0.626309335
VOD,0,0.625935316
AXTA,0,0.624367297
MO,0,0.623833477
PAGS,0,0.623368621
STMP,1,0.623133361
SHLS,1,0.621001542
PODD,1,0.620580792
AGEN,2,0.619648337
ALXN,2,0.619293869
LITE,1,0.619021893
AIZ,2,0.618675292
ZNGA,1,0.618461788
TWLO,1,0.618224025
BEN,0,0.618191063
TSM,1,0.618063688
ABNB,1,0.617406964
SPTN,0,0.617099166
TNL,0,0.616013288
LDOS,0,0.61548537
ARCC,0,0.615451038
LNT,2,0.61541599
EVBG,1,0.614449084
IDXX,0,0.613978207
CHGG,1,0.613291621
T,1,0.613224506
DNOW,0,0.612989604
GRUB,1,0.611912251
NEM,0,0.611868799
CSOD,0,0.611579895
CPNG,0,0.611560762
FCAC,1,0.611050546
LAZ,0,0.610921383
BXP,0,0.609257758
CDNS,1,0.609223783
LEA,0,0.609068751
ASH,0,0.608211458
FTNT,0,0.607685447
KGC,0,0.60765779
1797.HK,1,0.607518613
DE,1,0.60734272
BLUE,0,0.607190311
CVNA,0,0.606845498
COOP,0,0.605938971
NVO,2,0.605917335
BIDU,1,0.60577935
MRCY,0,0.605757833
RGEN,1,0.605517745
FSLR,1,0.605274022
HEXO,0,0.605181396
TEL,0,0.60500896
KLAC,0,0.604647636
VIR,1,0.604369402
BLFS,1,0.603400886
BX,0,0.60332191
1810.HK,2,0.602553666
0066.HK,0,0.602450013
JAGX,0,0.60182035
JMIA,1,0.601396799
UI,1,0.601279616
UHS,0,0.601264536
LVS,1,0.600433111
AVAV,1,0.600363374
CNP,0,0.599338591
ES,0,0.598192394
ALRM,1,0.598150313
BPY,0,0.59783262
3690.HK,0,0.597656608
AMBA,1,0.59758991
C,0,0.597436249
KBR,2,0.597254276
RENN,2,0.597034931
1530.HK,0,0.596635401
INT,0,0.596590638
EBAY,0,0.596351922
TPC,1,0.596314371
MRTX,1,0.595675886
GLBS,1,0.595445037
ABT,0,0.595419288
AKAM,0,0.595350921
PH,0,0.595317781
GGB,2,0.594567418
PLD,0,0.594426811
BTI,0,0.59436053
CLX,1,0.593997717
2269.HK,2,0.593854129
HRC,0,0.592838347
AMRS,1,0.592603743
SAN,2,0.591860592
PSA,0,0.591793835
PCG,1,0.591317296
PDD,0,0.591203392
PVH,0,0.590147853
BB,0,0.589889765
ZH,2,0.589719117
CTLT,0,0.589567602
VTRS,0,0.58934623
KMT,0,0.589284837
ATNX,2,0.589008689
EMN,2,0.588965774
SANM,0,0.588892579
ENPH,1,0.588322759
AXGN,0,0.588263988
ABG,0,0.588011682
FOLD,1,0.587550461
MRNA,0,0.58748585
CRWD,0,0.587146819
WEC,0,0.586941242
ST,0,0.586824059
PPL,0,0.586458325
LLIT,0,0.586375833
SNPS,0,0.585880995
TEAM,0,0.585818708
0151.HK,0,0.585269034
BA,0,0.584826112
CZR,0,0.584749401
MIDD,0,0.584629416
LILA,0,0.584621489
CMCSA,0,0.584580243
CRUS,1,0.584525168
BOXL,1,0.584095418
GPS,0,0.58407557
TM,0,0.583903849
RBLX,2,0.583782315
ARCH,2,0.583739698
OLLI,1,0.58367157
3993.HK,1,0.583624005
CNC,0,0.583605587
TTM,0,0.583292246
PLNT,0,0.583282351
PEG,0,0.583209693
NXPI,0,0.583048344
INFY,0,0.583022773
MTH,0,0.582275093
ADT,2,0.581900775
SPR,0,0.581714392
SAL,0,0.581656396
BRO,0,0.581243396
ENB,0,0.580670595
NTNX,0,0.580569923
TME,1,0.580509007
LW,0,0.579764962
EGAN,0,0.578478515
MKC,0,0.578394651
BYND,0,0.578079998
WELL,0,0.577872097
BUD,0,0.577844739
MSFT,0,0.577614784
TPX,0,0.57754457
QIWI,0,0.577517569
PFPT,0,0.577102005
CDEV,0,0.576892614
HPQ,0,0.576494217
0880.HK,1,0.576007962
CHRW,0,0.575770974
VAC,1,0.57537353
IBKR,1,0.575154424
IAC,0,0.574587226
GSAT,1,0.57434082
MU,1,0.574337721
SAGE,1,0.574039459
CYH,2,0.573976636
SBUX,0,0.57349503
LHX,0,0.572759271
DKNG,1,0.572520614
BHP,0,0.572425783
LTHM,0,0.572151363
SPGI,0,0.571323812
2313.HK,2,0.570963621
VIAV,0,0.57074064
PLTK,1,0.570524693
TPR,0,0.570498168
ZTS,2,0.570425332
0027.HK,0,0.57039845
6881.HK,0,0.570274651
2018.HK,0,0.569766223
TXN,0,0.568729997
GLP,0,0.568716824
CERN,2,0.568322062
SAIL,1,0.568317473
0762.HK,0,0.567929387
TRU,0,0.567503214
JBL,0,0.56748879
ORCL,0,0.567126989
FWONA,1,0.567074597
TXT,0,0.566855252
TGT,0,0.566777289
1816.HK,0,0.566701829
CTSH,1,0.566444278
EQR,0,0.566051781
OC,0,0.565171301
SHIP,1,0.565005302
FUSE,0,0.564867854
DBX,0,0.564832151
AIN,0,0.564481616
TELL,0,0.564451754
ABEV,2,0.564415872
SLGN,0,0.564195812
XOM,0,0.563999534
GDDY,0,0.563878775
MAR,0,0.563830912
TEVA,1,0.563575149
UBER,1,0.563358545
POWI,1,0.563109696
RETA,2,0.562796831
WKHS,1,0.562616587
RL,1,0.562336326
INGR,2,0.56185478
PCVX,1,0.561639309
ADSK,0,0.561556101
TMUS,0,0.561551213
UNFI,0,0.561509252
BDX,1,0.561396658
3333.HK,1,0.561059773
TXRH,1,0.561050117
DRE,0,0.560164154
SU,0,0.559754014
TCOM,1,0.559612274
DECK,1,0.559476614
SMG,1,0.559336424
HUBS,0,0.559096038
RY,0,0.558795929
DDS,0,0.558464408
UPWK,0,0.5583902
VRSK,0,0.558328271
DPZ,2,0.55829519
EOG,0,0.557949424
APRN,1,0.557858825
TDOC,1,0.557370424
AME,0,0.557228327
DT,0,0.556069076
ADMP,2,0.556009352
EMR,0,0.555356145
AMGN,0,0.555280149
CME,0,0.555213213
PI,0,0.554893196
ISRG,0,0.554801106
CPRX,0,0.554745317
SBAC,0,0.554660976
1958.HK,1,0.554515421
CCEP,0,0.554490983
XM,1,0.554171264
FAII,1,0.553925097
IDCC,2,0.553888321
QURE,0,0.553523421
WPM,0,0.553374171
FISV,1,0.553295314
RLX,1,0.553287864
TPIC,1,0.553235888
COO,1,0.552989423
NSC,1,0.552103698
ADBE,0,0.55209583
FANG,0,0.551973403
QRVO,0,0.551260114
DVA,0,0.551111698
DKS,2,0.550666094
AY,1,0.550457895
SFM,0,0.550321579
PEP,0,0.549792051
0001.HK,1,0.549690485
ATHX,0,0.54957062
JOBS,0,0.549308896
DD,2,0.5491485
NCR,0,0.549031556
PPC,0,0.548876524
M,0,0.548770785
CRSR,0,0.548770607
FVRR,0,0.548594236
FBHS,0,0.54837054
SLB,0,0.548007369
FNV,2,0.547873497
SPG,0,0.547660232
OHI,0,0.547621191
OXY,0,0.54702723
SHOP,2,0.546888947
9618.HK,1,0.54667598
FTIV,0,0.546544194
CPRT,2,0.546455145
ISBC,0,0.546454072
TMO,0,0.546222866
MS,0,0.545737863
PXD,0,0.54570204
ZEN,0,0.545472383
RYAAY,0,0.545239568
SUZ,1,0.545100033
MAIN,0,0.545017779
FLIR,0,0.544856071
QCOM,1,0.544818759
0012.HK,0,0.544811964
HD,0,0.544444084
VXRT,1,0.544121563
GOL,2,0.54409945
BFAM,1,0.543970466
UNM,0,0.543928683
HAL,0,0.543367445
EAT,1,0.543162227
IP,2,0.542972684
MNST,0,0.542957604
VRSN,0,0.542604506
COP,0,0.542571068
CPE,0,0.542493582
ADS,0,0.542460918
DASH,2,0.542310238
IRTC,1,0.542219222
NTLA,1,0.542155623
OSK,0,0.542141914
TWTR,1,0.541931927
TA,2,0.541801155
DAL,0,0.541568875
STZ,0,0.540477812
MDB,1,0.5403952
THS,0,0.540381134
SAM,1,0.54033041
Y,0,0.540142715
LSI,0,0.539738297
SKM,2,0.539522648
PII,1,0.539416611
BMBL,1,0.538779974
BMY,0,0.53873986
STX,0,0.537937105
UDR,0,0.537445903
BJ,0,0.537222564
1628.HK,1,0.537174463
VTR,0,0.537099063
K,0,0.53688103
IPOE,0,0.536759377
SONY,0,0.536736846
FAST,0,0.536591351
HSBC,0,0.536414802
NVR,0,0.536251724
WFC,0,0.536091864
WGO,1,0.536076605
CHKP,0,0.535703719
FOSL,0,0.535646677
CCU,0,0.535607278
CRBP,0,0.535530508
BRKR,0,0.535471797
TDG,0,0.534970641
GLW,0,0.534197748
STT,0,0.534154117
VTRU,0,0.5340904
CNX,0,0.533850253
SPCE,2,0.533826768
LSCC,0,0.533444524
OKE,0,0.53340888
6060.HK,1,0.533360243
ALLY,0,0.533351362
RMAX,1,0.533190489
LULU,0,0.533134878
6886.HK,0,0.533000648
KMX,1,0.532726228
MANU,0,0.532568872
WORK,0,0.532442749
EQIX,0,0.532296419
ALL,0,0.531784594
PLAN,0,0.531742156
FTV,1,0.531632662
PDCO,0,0.531483293
VRTX,1,0.531398714
CVX,0,0.53137815
0914.HK,0,0.531337202
TTD,1,0.53100729
GRA,2,0.530506372
0386.HK,1,0.530442536
TRMB,0,0.530013442
LYV,0,0.529651105
AAPL,0,0.52944392
NFLX,0,0.529326737
IT,0,0.52912277
LOW,0,0.529023826
PBR,0,0.529000819
SIVB,0,0.528931081
0268.HK,2,0.528906047
GFI,0,0.52866751
AEE,0,0.528324604
HTZGQ,2,0.528208613
OVV,0,0.528059721
FMC,0,0.527910829
GE,0,0.527740896
1988.HK,1,0.527574182
ADP,0,0.527565777
GH,1,0.527558565
2196.HK,0,0.527474463
PTC,1,0.527226985
0083.HK,0,0.526157677
CNK,0,0.526036441
POSH,1,0.525711179
COMM,0,0.525433421
WAB,0,0.524981201
2388.HK,0,0.524943888
LII,0,0.524781346
CIG,0,0.524776161
BRK-B,0,0.524243176
ATUS,0,0.523795545
AGCO,1,0.52360189
NKE,0,0.523131788
MCK,0,0.523091614
1873.HK,0,0.52293551
CAT,0,0.522758365
FE,0,0.522639215
WMB,0,0.522572458
COUR,0,0.522211254
RFP,0,0.521859348
BBD,0,0.521837294
DGLY,1,0.521775305
ATVI,0,0.521600187
PRG,0,0.521557748
XRAY,0,0.521448135
EVRG,0,0.52139318
CINF,0,0.521302223
HIG,0,0.521246195
ANDE,0,0.521085143
SYY,1,0.520867705
AAL,0,0.520693779
1336.HK,0,0.520677209
MAN,0,0.520147681
O,0,0.519351065
WDC,0,0.519233942
CLDX,0,0.51912272
GD,0,0.518909872
MA,0,0.518723965
0857.HK,0,0.51870656
BSAC,1,0.518452704
WPC,0,0.518439889
BWA,0,0.518286824
MRK,0,0.518118739
HMC,0,0.517978787
MTB,2,0.517852008
WCC,0,0.517753303
HFC,0,0.517728448
GILD,0,0.517528415
AMG,0,0.517294943
DVAX,1,0.517222166
SNEX,0,0.517075956
GNTX,1,0.517039955
SUM,2,0.516960144
LUV,0,0.516882539
VMW,0,0.516729176
CCL,0,0.516670704
0728.HK,1,0.516527951
SRNE,1,0.516432047
VSTO,0,0.51631391
PAGP,0,0.516214013
CRON,1,0.516183853
JOUT,1,0.515867949
VFC,1,0.515857458
SMAR,1,0.515761912
JBT,2,0.515513241
CADE,0,0.515284717
NOVA,1,0.515281916
NSP,0,0.515190661
CRI,0,0.515162706
KHC,2,0.514953196
TSN,0,0.514720261
DELL,2,0.514640033
ABM,1,0.514566422
DGX,0,0.514443994
PYPL,0,0.514269412
ASML,0,0.513660133
GME,0,0.513597429
GOSS,0,0.513414621
COF,2,0.513159573
PINS,1,0.512932658
0916.HK,2,0.512826085
KKR,0,0.512517512
MDC,0,0.512337744
STAG,0,0.512278259
FCPT,0,0.512168646
1186.HK,0,0.512063026
LSXMA,1,0.512006462
STLD,2,0.511786401
U,1,0.511535525
MLM,0,0.511461675
FFIV,0,0.511432469
PM,2,0.511170447
RWT,0,0.511169255
STE,0,0.510944128
OUT,0,0.51092732
LPSN,1,0.510916114
CMA,2,0.510504782
TER,1,0.510430515
GPC,0,0.510337472
INPX,1,0.510263205
LKQ,0,0.510165989
WLL,2,0.509989977
BG,0,0.509764671
UMC,0,0.509393871
FROG,1,0.509383857
NI,0,0.509337246
1177.HK,0,0.509147227
CASY,0,0.50882715
TJX,1,0.508803666
OMI,0,0.508704782
0011.HK,0,0.508699775
SEDG,1,0.508618653
KDP,2,0.508443654
AFG,0,0.508423269
JNPR,0,0.508166015
PDCE,0,0.508098662
ZYNE,1,0.507996261
YUM,0,0.507917941
SYK,2,0.507755637
0257.HK,1,0.507621527
MTW,0,0.507559299
MTDR,0,0.507437527
INGN,0,0.507214785
ON,1,0.507062912
TNDM,1,0.507041872
HOG,2,0.507029057
MUSA,0,0.50694412
JAZZ,0,0.506855905
DEN,2,0.506771863
NRG,0,0.506752074
OLN,2,0.506525457
REAL,0,0.506475151
BAC,2,0.506281674
GOLD,0,0.506281614
PBF,0,0.505986631
CBRL,1,0.505982995
BBBY,2,0.505895197
SPB,0,0.505815804
ROST,0,0.505775154
FDX,0,0.505415022
NAV,0,0.50523299
PNC,0,0.505223155
CHWY,1,0.504995704
SON,0,0.504826069
REGN,0,0.504612386
HII,2,0.504606307
KSS,1,0.504305542
AVT,0,0.504213512
SNX,0,0.504202366
XP,0,0.503630877
APH,1,0.503616691
DAR,1,0.503335118
HEAR,2,0.503292441
0939.HK,1,0.503222466
FRT,0,0.502918601
SNAP,0,0.50276202
FCX,0,0.502729058
TSCO,0,0.502723038
ORI,0,0.502614617
UAL,0,0.502569318
TT,0,0.502409279
DVN,0,0.502381086
KSU,2,0.502304614
NTRS,0,0.502300978
EIX,1,0.501913249
CUB,2,0.501891077
SYF,0,0.501823127
LYB,0,0.501815677
EXPE,0,0.501799881
0966.HK,0,0.501735687
RIO,0,0.501626015
X,0,0.501385212
MMM,0,0.501336038
NTDOY,0,0.501326799
CHD,0,0.501072407
WTRG,0,0.501048207
MWA,0,0.501028657
NSTB,1,0.501028478
1109.HK,1,0.500809193
ABBV,0,0.500748456
GAS,0,0.500519037
SJM,0,0.500289679
DHR,2,0.499780387
1128.HK,1,0.4996503
FOUR,0,0.49940747
CBRE,1,0.499320179
WBT,2,0.499095291
OGI,0,0.499036074
LBTYA,0,0.499020129
ETR,0,0.498373806
GWPH,0,0.498371214
MTOR,1,0.498346329
WAT,0,0.498197287
BLMN,0,0.498143017
ARWR,0,0.498092562
IFF,0,0.4979828
SAH,1,0.49795875
LLY,0,0.497909963
AVGO,0,0.497442693
HBI,0,0.497264832
FLR,1,0.497226685
THC,0,0.497160435
RLGY,2,0.496874154
PTON,1,0.496821582
1800.HK,0,0.496756107
TAK,1,0.496483028
NAVI,2,0.496440291
SFIX,0,0.496245712
FRPT,0,0.496235192
FTCH,0,0.496131301
RHI,0,0.496113062
MCD,0,0.495887876
JLL,2,0.495751083
1928.HK,0,0.49567005
MUR,2,0.495539695
PG,2,0.49546507
ITW,0,0.495303005
3908.HK,2,0.494916022
COST,0,0.494888514
ZION,0,0.49484089
SIX,1,0.494819999
PKG,2,0.494732082
EXR,0,0.494674206
CSCO,2,0.49465695
AZPN,1,0.49439618
BLDR,1,0.494260162
IBM,0,0.494229794
IPG,0,0.493759066
CF,0,0.49373728
XEL,2,0.493620008
1997.HK,0,0.493501633
TFX,1,0.493273377
OKTA,1,0.493130773
1801.HK,2,0.49301669
ALK,0,0.492998272
ANTM,0,0.492955327
PBR-A,0,0.492612302
BMRN,1,0.492559522
ENS,0,0.49234432
TV,2,0.492276371
BCRX,0,0.492151737
DDOG,0,0.492080867
JBLU,1,0.49202171
PRGO,0,0.492007524
0998.HK,2,0.491995722
HTHT,0,0.491442859
SGEN,0,0.491363466
MTCH,1,0.491179496
1171.HK,0,0.490883142
VRM,2,0.490652323
AJG,0,0.490645766
TRVN,1,0.490591377
GS,0,0.490413547
ANGI,0,0.490262508
BR,0,0.49023515
CHTR,0,0.489653736
BILL,0,0.489635527
SHAK,1,0.489626706
DLR,0,0.489578366
XYL,0,0.489568412
AGRO,2,0.489525437
HST,0,0.489355773
OI,2,0.489181012
ADM,0,0.489090264
SEE,0,0.489084899
FRC,0,0.488639444
KEY,2,0.488361716
0981.HK,1,0.488251626
IBP,1,0.48806712
BIG,0,0.487929344
J,0,0.487793028
CSX,1,0.487751275
0101.HK,0,0.48773852
1299.HK,1,0.487705797
SCHW,2,0.487679094
MPW,0,0.487448126
1044.HK,0,0.487040251
BERY,2,0.486999661
GNW,0,0.486558706
MTD,0,0.48638308
FLT,1,0.486179203
DOV,0,0.486022264
SRE,0,0.486007512
NEE,1,0.485978991
MAS,0,0.485804349
SRCL,0,0.485675961
DB,0,0.485654652
0753.HK,1,0.485127211
BKYI,0,0.485121369
MXL,0,0.485020489
ABCB,2,0.484918654
GLPI,2,0.484881878
BHF,2,0.484649032
JCI,0,0.484321266
LPX,0,0.484307885
AQUA,2,0.484303355
TACO,0,0.484276652
MOMO,0,0.484233201
GPK,0,0.484006226
AVXL,0,0.483937085
CX,2,0.483854234
UONE,0,0.483788371
BBY,0,0.483571798
CCK,0,0.48331961
SXT,0,0.483281285
NOMD,0,0.482951283
PZZA,0,0.482778311
CVI,0,0.482688248
QD,1,0.482669353
ANET,0,0.482393116
GIS,0,0.482156605
ORLY,0,0.482016981
FLO,0,0.481765896
CL,0,0.481757373
WST,0,0.481677324
SWBI,2,0.481312126
GNUS,1,0.481203109
NCLH,2,0.481191963
JPM,0,0.481188089
UNH,0,0.480746537
NTES,2,0.480374187
BRKS,0,0.480237097
HON,0,0.480132818
MGM,2,0.480124086
AWK,0,0.480122656
COLD,0,0.480091393
MXIM,2,0.479937583
MTZ,0,0.479763448
ITUB,0,0.479630768
FLS,0,0.479608566
0656.HK,0,0.47938323
REXR,2,0.478841335
COG,1,0.478678286
NIO,2,0.478571981
ETN,0,0.47839269
BHC,0,0.478384823
VALE,2,0.478338122
PAAS,0,0.478159636
GIB,0,0.477953136
FAF,2,0.477908194
MFG,2,0.477897525
LUMN,0,0.477739006
INSP,1,0.477611989
NUE,2,0.477572292
0778.HK,0,0.477523297
BKR,0,0.477517813
ACN,0,0.477145553
KMI,0,0.476956546
GOOG,2,0.476846308
1211.HK,2,0.476757646
MRO,0,0.476593286
EXEL,1,0.476255387
ALLE,0,0.476216495
UA,1,0.476142973
DAN,0,0.476116449
USFD,0,0.476006269
NOV,0,0.475917101
GWW,0,0.475778133
NWSA,1,0.475614399
EPC,0,0.47555238
L,0,0.475545317
DXCM,1,0.475421548
TD,0,0.475314766
UVV,0,0.475185215
EL,1,0.475128651
VZ,0,0.475120842
WEN,0,0.47488451
NBIX,0,0.47436446
DISH,0,0.474242985
SNOW,0,0.474052817
SINT,1,0.473971963
KL,0,0.473917454
CORE,2,0.473749846
CNQ,0,0.473671347
AIG,0,0.473438233
TROW,0,0.473397911
CHE,2,0.473294705
IIPR,1,0.473139971
AMP,0,0.472904921
PFE,0,0.472886175
0688.HK,1,0.472613662
BCO,1,0.472529948
AOS,0,0.472067416
NTAP,2,0.472019941
GPRO,0,0.471899271
PRU,0,0.471787959
WM,0,0.471732259
COTY,1,0.471540004
RRD,2,0.471461028
DHI,1,0.471119463
HQY,2,0.471003383
DRI,0,0.47071293
PFG,0,0.470666915
2382.HK,2,0.470426053
CLMT,0,0.470228225
ULTA,0,0.470187455
HCA,2,0.469796002
MOS,2,0.4696953
GM,2,0.469574064
UGI,0,0.468675762
KEYS,1,0.468656898
CSGP,1,0.467716247
ZIM,2,0.467224061
SSSS,1,0.467134714
MGA,0,0.467019349
KBH,0,0.46697396
ODP,0,0.466836274
REG,1,0.466717988
MSCI,0,0.466344357
ARE,0,0.466277182
IRBT,1,0.466205925
EW,2,0.465995669
BK,0,0.465874463
1093.HK,2,0.465751022
1898.HK,0,0.465546131
RCL,2,0.465423048
CAMP,0,0.465399534
RPM,0,0.465155512
FITB,0,0.465098888
JFU,1,0.465016842
QFIN,2,0.464940906
6185.HK,2,0.464488059
LNC,0,0.464391172
SCCO,0,0.464349627
0700.HK,1,0.464034557
APA,0,0.463922977
2020.HK,0,0.46366179
FL,0,0.463539511
ARW,2,0.463134259
MX,0,0.462985277
0241.HK,1,0.462174684
CC,2,0.462121457
BRFS,0,0.462043256
SIRI,0,0.46193406
WOOF,0,0.461558342
SWN,2,0.461408198
EXC,0,0.461181879
PAM,0,0.461041719
WY,1,0.460879147
SE,2,0.460648984
TTCF,0,0.460545301
RJF,0,0.460290074
RH,0,0.460225433
ET,2,0.459803075
PRAH,2,0.459581256
GT,2,0.4594993
ATI,2,0.459054917
RF,2,0.459046066
1966.HK,0,0.458986402
GL,0,0.458427161
HUBb,0,0.458424985
BYD,0,0.458384067
AZN,0,0.458376139
PNR,2,0.457128316
NWL,0,0.456219941
YUMC,2,0.455600321
MDU,0,0.455063313
IEP,0,0.454999536
DUK,0,0.454166502
AFL,0,0.453936905
SAFM,0,0.453733653
ATH,0,0.453608543
JWN,1,0.453577489
